Transcript ID: CHS.22394.22, TPM: 76.900711
Transcript ID: CHS.22394.20, TPM: 1022.87738
Transcript ID: MSTRG.348.1, TPM: 164.400528
Transcript ID: MSTRG.348.3, TPM: 39.195457
Transcript ID: MSTRG.348.2, TPM: 177.253799
Transcript ID: MSTRG.348.4, TPM: 12.841503
Transcript ID: CHS.22084.19, TPM: 0.0
Transcript ID: MSTRG.999.9, TPM: 8.546971
Transcript ID: MSTRG.999.8, TPM: 17.625072
Transcript ID: MSTRG.999.1, TPM: 89.55883
Transcript ID: MSTRG.999.2, TPM: 0.0
Transcript ID: MSTRG.999.7, TPM: 108.037292
Transcript ID: MSTRG.999.6, TPM: 19.473343
Transcript ID: CHS.23415.2, TPM: 51.201313
Transcript ID: CHS.23415.3, TPM: 31.273144
Transcript ID: CHS.23415.1, TPM: 294.203491
Transcript ID: CHS.23415.4, TPM: 16.586571
Transcript ID: CHS.22569.19, TPM: 0.0
Transcript ID: CHS.23415.9, TPM: 206.064285
Transcript ID: CHS.175916.1, TPM: 0.0
Transcript ID: CHS.21931.6, TPM: 0.0
Transcript ID: CHS.21931.5, TPM: 0.0
Transcript ID: CHS.21931.2, TPM: 0.0
Transcript ID: CHS.21075.3, TPM: 27709.876953
Transcript ID: CHS.142934.1, TPM: 0.0
Transcript ID: CHS.158305.1, TPM: 2.329543
Transcript ID: CHS.22236.11, TPM: 633.79126
Transcript ID: CHS.22236.12, TPM: 784.6828
Transcript ID: CHS.22236.16, TPM: 881.567505
Transcript ID: CHS.22236.17, TPM: 1229.381104
Transcript ID: CHS.21984.14, TPM: 14.13208
Transcript ID: CHS.23801.1, TPM: 0.0
Transcript ID: CHS.23504.9, TPM: 160.74585
Transcript ID: CHS.23801.3, TPM: 0.0
Transcript ID: CHS.23801.2, TPM: 0.0
Transcript ID: CHS.23801.5, TPM: 0.0
Transcript ID: CHS.23801.4, TPM: 0.0
Transcript ID: CHS.23801.7, TPM: 0.0
Transcript ID: CHS.23504.8, TPM: 143.473129
Transcript ID: CHS.23801.9, TPM: 0.0
Transcript ID: CHS.23801.8, TPM: 0.0
Transcript ID: CHS.21582.1, TPM: 0.0
Transcript ID: CHS.22066.1, TPM: 0.0
Transcript ID: CHS.23239.1, TPM: 0.0
Transcript ID: CHS.21550.16, TPM: 0.0
Transcript ID: CHS.21550.14, TPM: 0.0
Transcript ID: CHS.21550.15, TPM: 0.0
Transcript ID: CHS.22234.16, TPM: 0.0
Transcript ID: CHS.23234.2, TPM: 338.160919
Transcript ID: CHS.22234.14, TPM: 0.0
Transcript ID: CHS.128807.1, TPM: 9.562927
Transcript ID: CHS.22234.10, TPM: 0.0
Transcript ID: CHS.21132.7, TPM: 5.248508
Transcript ID: CHS.21986.11, TPM: 56.547829
Transcript ID: CHS.23447.38, TPM: 0.0
Transcript ID: CHS.175725.1, TPM: 0.0
Transcript ID: CHS.21166.4, TPM: 19.978941
Transcript ID: CHS.21166.3, TPM: 301.150269
Transcript ID: CHS.21166.2, TPM: 57.703323
Transcript ID: CHS.21166.1, TPM: 16.154692
Transcript ID: CHS.23447.31, TPM: 0.0
Transcript ID: MSTRG.1547.8, TPM: 7.843537
Transcript ID: CHS.23239.5, TPM: 1.173238
Transcript ID: CHS.23447.35, TPM: 0.0
Transcript ID: CHS.23590.20, TPM: 219.5672
Transcript ID: CHS.23447.37, TPM: 0.0
Transcript ID: CHS.21951.2, TPM: 0.0
Transcript ID: CHS.21269.1, TPM: 59.38591
Transcript ID: MSTRG.602.10, TPM: 47.7981
Transcript ID: CHS.21108.2, TPM: 0.0
Transcript ID: CHS.21108.1, TPM: 0.0
Transcript ID: MSTRG.154.7, TPM: 19.98101
Transcript ID: CHS.175739.1, TPM: 0.0
Transcript ID: CHS.165994.1, TPM: 17.780109
Transcript ID: CHS.23833.6, TPM: 0.0
Transcript ID: CHS.23833.7, TPM: 0.0
Transcript ID: CHS.23833.4, TPM: 0.0
Transcript ID: CHS.23833.5, TPM: 0.0
Transcript ID: CHS.23833.2, TPM: 0.0
Transcript ID: CHS.23833.3, TPM: 0.0
Transcript ID: CHS.23833.1, TPM: 0.0
Transcript ID: CHS.21465.40, TPM: 99.758957
Transcript ID: CHS.22578.12, TPM: 0.461211
Transcript ID: CHS.22881.1, TPM: 2.08012
Transcript ID: CHS.22881.6, TPM: 4.506499
Transcript ID: CHS.22881.7, TPM: 0.0
Transcript ID: CHS.22014.1, TPM: 1.344603
Transcript ID: CHS.22881.8, TPM: 5.810633
Transcript ID: CHS.130906.1, TPM: 0.0
Transcript ID: CHS.22018.28, TPM: 0.0
